0010011BOURGUIGNON         BERNARD        999999999999999999999999999999900XXXXX
0010012BOURGUIGNON         PASCAL         999999999999999999999999999999900XXXXX
0010013JARRE               JEAN-MICHEL    123456000000789012345678901234567XXXXX
0010014JARRE               MARCEL         123456000000789012345678901234567XXXXX
0012005MAYER               JEAN           987452385412000000154759665415456XXXXX
0012006MAYER               THIERRY        987452385412000000154759665415456XXXXX
0020027SCHULTZE            CHRISTOF       987654321098765432000001098765400XXXXX
0020028SCHULTZE            KLAUS          987654321098765432000001098765400XXXXX
0020029PAPATHANASSIOU      INAKIS         039393939393000000111112222233333XXXXX
0020030PAPATHANASSIOU      VANGELIS       039393939393000000111112222233333XXXXX
0030031OLDFIELD            MIKE           112233000000000000444330000021321XXXXX
0030032OLDFIELD            NEWELL         112233000000000000444330000021321XXXXX
0030033ROUSSEAU            DEMIS          000000992211000000000087654420868XXXXX
0030034ROUSSEAU            JEAN-JACQUES   000000992211000000000087654420868XXXXX
0030035WATSON              IBM            321321324323555555000007770000000XXXXX
0030036WATSON              ROBERT         321321324323555555000007770000000XXXXX
0033007SCHTROUMPF          COQUET         000000000000000000000000000000000XXXXX
0033008SCHTROUMPF          GOURMAND       000000000000000000000000000000000XXXXX
0040049JESUISPASVENDEUR    CESTPASMOI     000000000000000000000000000000000XXXXX
0040050JESUISPASVENDEUR    YCELUI         000000000000000000000000000000000XXXXX
0230061KRONEMBOURG         BRUNOT         165016849811058797680596805962059XXXXX
0230062KRONEMBOURG         FREDDY         165016849811058797680596805962059XXXXX
0720053CHLOROPHYLE         PHILIPPE       735188144089699922022010196514282XXXXX
0720054CHLOROPHYLE         VIOLETTE       735188144089699922022010196514282XXXXX
